"customer_id","recency","frequency","monetary","r_score","f_score","m_score","rfm_total_score","rfm_cell","segment"
12346,326,3,77352.96,2,3,5,10,"235","Needs Attention"
12347,3,8,4921.53,5,4,5,14,"545","Champions"
12348,76,5,1658.40,3,4,4,11,"344","Loyal Customers"
12349,19,3,3678.69,5,3,5,13,"535","Potential Loyalists"
12350,311,1,294.40,2,1,2,5,"212","About To Sleep"
12351,376,1,300.93,2,1,2,5,"212","About To Sleep"
12352,37,9,1729.54,4,5,4,13,"454","Champions"
12353,205,2,406.76,2,2,2,6,"222","Needs Attention"
12354,233,1,1079.40,2,1,3,6,"213","About To Sleep"
12355,215,2,947.61,2,2,3,7,"223","Needs Attention"
12356,23,6,5611.73,4,4,5,13,"445","Champions"
12357,34,2,17437.66,4,2,5,11,"425","Potential Loyalists"
12358,2,5,3447.07,5,4,5,14,"545","Champions"
12359,58,10,8873.39,4,5,5,14,"455","Champions"
12360,53,6,3612.89,4,4,5,13,"445","Champions"
12361,288,4,451.25,2,4,2,8,"242","At Risk"
12362,4,10,4737.23,5,5,5,15,"555","Champions"
12363,110,2,552.00,3,2,2,7,"322","Promising"
12364,8,4,1208.10,5,4,4,13,"544","Champions"
12365,292,1,320.69,2,1,2,5,"212","About To Sleep"
12366,634,1,500.24,1,1,2,4,"112","Lost"
12367,5,1,150.90,5,2,1,8,"521","Potential Loyalists"
12368,629,1,917.70,1,1,3,5,"113","Hibernating"
12369,414,3,1511.15,1,3,4,8,"134","At Risk"
12370,52,7,3956.56,4,4,5,13,"445","Champions"
12371,60,4,3347.38,3,3,5,11,"335","Promising"
12372,72,3,1196.04,3,3,3,9,"333","Promising"
12373,312,3,927.65,2,3,3,8,"233","Needs Attention"
12374,26,3,2669.22,4,3,4,11,"434","Potential Loyalists"
12375,11,2,377.50,5,2,2,9,"522","Potential Loyalists"
12376,390,2,383.15,2,2,2,6,"222","Needs Attention"
12377,316,4,3266.32,2,3,5,10,"235","Needs Attention"
12378,130,2,5416.32,3,3,5,11,"335","Promising"
12379,82,4,1470.22,3,3,4,10,"334","Promising"
12380,22,8,7210.65,4,4,5,13,"445","Champions"
12381,5,3,1474.81,5,3,4,12,"534","Potential Loyalists"
12383,185,5,1628.56,3,4,4,11,"344","Loyal Customers"
12384,29,2,425.27,4,2,2,8,"422","Potential Loyalists"
12385,380,1,1668.40,2,1,4,7,"214","About To Sleep"
12386,338,2,401.90,2,2,2,6,"222","Needs Attention"
12387,416,1,143.94,1,2,1,4,"121","Lost"
12388,16,8,3901.11,5,4,5,14,"545","Champions"
12389,403,3,1433.33,2,3,4,9,"234","Needs Attention"
12390,80,1,504.84,3,1,2,6,"312","Promising"
12391,22,6,2724.84,4,4,4,12,"444","Champions"
12392,592,1,234.75,1,1,1,3,"111","Lost"
12393,73,6,2399.45,3,4,4,11,"344","Loyal Customers"
12394,64,2,1080.48,3,2,3,8,"323","Promising"
12395,20,15,4241.17,5,5,5,15,"555","Champions"
12396,675,1,931.43,1,1,3,5,"113","Hibernating"
12397,36,2,2214.90,4,2,4,10,"424","Potential Loyalists"
12398,46,1,1435.66,4,1,4,9,"414","New Customers"
12399,120,7,1842.30,3,4,4,11,"344","Loyal Customers"
12400,415,1,205.25,1,2,1,4,"121","Lost"
12401,304,1,69.30,2,1,1,4,"211","About To Sleep"
12402,324,6,1136.90,2,4,3,9,"243","At Risk"
12403,50,2,947.36,4,2,3,9,"423","Potential Loyalists"
12405,149,1,1390.39,3,1,4,8,"314","Promising"
12406,23,5,6390.36,4,4,5,13,"445","Champions"
12407,50,5,1507.12,4,4,4,12,"444","Champions"
12408,33,8,3905.77,4,4,5,13,"445","Champions"
12409,79,7,23419.29,3,4,5,12,"345","Loyal Customers"
12410,309,3,773.71,2,3,3,8,"233","Needs Attention"
12411,410,1,346.90,1,1,2,4,"112","Lost"
12412,75,6,2404.93,3,4,4,11,"344","Loyal Customers"
12413,67,4,871.45,3,3,3,9,"333","Promising"
12414,218,4,532.41,2,3,2,7,"232","Needs Attention"
12415,25,24,144033.37,4,5,5,14,"455","Champions"
12416,657,1,202.56,1,2,1,4,"121","Lost"
12417,4,20,5998.41,5,5,5,15,"555","Champions"
