Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue
489446,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2009-12-01 10:06:00,1.25,13758,United Kingdom,15.0
489446,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2009-12-01 10:06:00,1.95,13758,United Kingdom,19.5
489488,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,5,2009-12-01 10:59:00,2.95,17238,United Kingdom,14.75
489536,21356,TOAST ITS - FAIRY FLOWER,1,2009-12-01 12:13:00,1.25,16393,United Kingdom,1.25
489545,22110,BIRD HOUSE HOT WATER BOTTLE,1,2009-12-01 12:22:00,3.45,17804,United Kingdom,3.45
489545,21124,SET/10 BLUE SPOTTY PARTY CANDLES,1,2009-12-01 12:22:00,1.25,17804,United Kingdom,1.25
489556,20977,36 PENCILS TUBE WOODLAND,2,2009-12-01 12:47:00,1.25,15719,United Kingdom,2.5
489574,20941,FROG CANDLE,4,2009-12-01 13:31:00,1.25,13097,United Kingdom,5.0
489785,17084R,ASSORTED INCENSE PACK,72,2009-12-02 11:51:00,0.21,14653,United Kingdom,15.12
489786,22333,RETRO SPORT PARTY BAG + STICKER SET,4,2009-12-02 11:52:00,1.65,17019,United Kingdom,6.6
489808,22186,RED STAR CARD HOLDER,5,2009-12-02 12:44:00,2.95,14467,United Kingdom,14.75
489824,85150,LADIES & GENTLEMEN METAL SIGN,1,2009-12-02 13:33:00,2.55,16797,United Kingdom,2.55
489833,21154,RED SPOTTY OVEN GLOVE ,2,2009-12-02 14:09:00,1.25,14980,United Kingdom,2.5
489880,35015,JACOBS LADDER SMALL,72,2009-12-02 16:18:00,0.06,13313,United Kingdom,4.32
489912,85185B,PINK HORSE SOCK PUPPET,6,2009-12-03 10:26:00,2.95,13931,United Kingdom,17.700000000000003
490048,72799A,BLACK PILLAR CANDLE SILVER FLOCK,24,2009-12-03 13:03:00,2.55,16779,United Kingdom,61.199999999999996
490062,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,2009-12-03 13:46:00,2.95,13485,United Kingdom,35.400000000000006
490078,37500,TEA TIME TEAPOT IN GIFT BOX,4,2009-12-03 15:09:00,9.95,17853,United Kingdom,39.8
490093,84406B,CREAM CUPID HEARTS COAT HANGER,8,2009-12-03 15:56:00,3.25,12949,United Kingdom,26.0
490099,79323W, WHITE CHERRY LIGHTS,4,2009-12-03 16:12:00,6.75,16736,United Kingdom,27.0
490108,15036,ASSORTED COLOURS SILK FAN,240,2009-12-03 16:49:00,0.48,17414,United Kingdom,115.19999999999999
490112,21175,GIN + TONIC DIET METAL SIGN,6,2009-12-03 17:04:00,2.1,13037,United Kingdom,12.600000000000001
490161,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2009-12-04 10:57:00,0.95,17160,United Kingdom,11.399999999999999
490291,85114B,IVORY ENCHANTED FOREST PLACEMAT,27,2009-12-04 13:22:00,1.65,16541,United Kingdom,44.55
490299,21218,RED SPOTTY BISCUIT TIN,1,2009-12-04 14:14:00,3.75,13680,United Kingdom,3.75
490304,51012C,"FEATHER DUSTER, COAL BLACK",12,2009-12-04 14:35:00,1.25,17593,United Kingdom,15.0
490331,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,1,2009-12-04 15:30:00,2.1,18181,United Kingdom,2.1
490366,84839,SWEETHEART KEY CABINET,2,2009-12-05 10:31:00,6.75,18071,United Kingdom,13.5
490366,22335,HEART DECORATION PAINTED ZINC ,24,2009-12-05 10:31:00,0.65,18071,United Kingdom,15.600000000000001
490398,37450,CERAMIC CAKE BOWL + HANGING CAKES,3,2009-12-06 10:37:00,2.95,17920,United Kingdom,8.850000000000001
490399,20783,HEART EAR MUFF HEADPHONES,2,2009-12-06 10:38:00,5.49,12975,United Kingdom,10.98
490463,21364,PEACE SMALL WOOD LETTERS,6,2009-12-06 12:10:00,6.75,14133,United Kingdom,40.5
490467,84814B,RHOMBUS CRYSTAL PERFUME BOTTLE,2,2009-12-06 12:17:00,1.95,15059,United Kingdom,3.9
490483,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,2009-12-06 12:52:00,12.75,13782,United Kingdom,25.5
490482,82597,BOMBS AWAY METAL SIGN,1,2009-12-06 12:52:00,2.1,15983,United Kingdom,2.1
490490,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",2,2009-12-06 13:10:00,12.75,14546,United Kingdom,25.5
490490,79190D,RETRO PLASTIC DAISY TRAY,1,2009-12-06 13:10:00,0.42,14546,United Kingdom,0.42
490496,72484,ROSES IN WHITE HEART CANDLE ,36,2009-12-06 13:40:00,1.25,15547,United Kingdom,45.0
