"customer_id","recency","frequency","monetary","r_score","f_score","m_score"
16446,1,2,168472.50,5,2,5
15098,183,3,39916.50,3,3,5
12357,34,2,17437.66,4,2,5
16000,3,3,12393.70,5,3,5
12798,11,4,8510.93,5,3,5
12497,82,3,5996.50,3,3,5
12378,130,2,5416.32,3,3,5
14459,156,2,5375.74,3,2,5
13763,64,3,5217.44,3,3,5
17084,36,3,5001.21,4,3,5
12688,114,1,4873.81,3,1,5
13124,90,4,4641.66,3,3,5
12700,8,4,4525.99,5,3,5
16732,32,4,4387.64,4,3,5
12752,82,1,4366.78,3,1,5
12432,43,4,4359.32,4,3,5
12536,60,1,4279.71,3,1,5
12653,149,3,4160.83,3,3,5
14566,111,4,4092.00,3,3,5
12578,22,4,4026.45,4,3,5
